price,address,suburb,bedrooms,bathrooms,parking,property_type,link,price_numeric
"$2,300,000 - $2,400,000","44 Dutton Street, BANKSTOWN NSW 2200",BANKSTOWN,5,3,4,House,https://www.domain.com.au/44-dutton-street-bankstown-nsw-2200-2019991097,2300000.0
"$609,000","607/61-63 Rickard Road, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/607-61-63-rickard-road-bankstown-nsw-2200-2019953680,609000.0
"$1,449,950","3 Daphne Avenue, BANKSTOWN NSW 2200",BANKSTOWN,4,2,2,Duplex,https://www.domain.com.au/3-daphne-avenue-bankstown-nsw-2200-2020089601,1449950.0
AUCTION,"14 Archer Crescent, BANKSTOWN NSW 2200",BANKSTOWN,3,1,2,House,https://www.domain.com.au/14-archer-crescent-bankstown-nsw-2200-2020083593,
"$569,000","810/38 Kitchener Parade, BANKSTOWN NSW 2200",BANKSTOWN,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/810-38-kitchener-parade-bankstown-nsw-2200-2020081902,569000.0
"$688,000","405/18 Leonard Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/405-18-leonard-street-bankstown-nsw-2200-2020066101,688000.0
CONTACT AGENT - DUPLEX POTENTIAL S.T.C.A,"26 Saurine Street, BANKSTOWN NSW 2200",BANKSTOWN,4,2,4,House,https://www.domain.com.au/26-saurine-street-bankstown-nsw-2200-2020044793,
"$499,950","16/59 Rickard Road, BANKSTOWN NSW 2200",BANKSTOWN,2,1,2,Apartment / Unit / Flat,https://www.domain.com.au/16-59-rickard-road-bankstown-nsw-2200-2020041309,499950.0
"$588,000","14/4 West Terrace, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/14-4-west-terrace-bankstown-nsw-2200-2020033012,588000.0
"Price Indication $1,220,000 - $1,280,000","6/3 Highland Avenue, BANKSTOWN NSW 2200",BANKSTOWN,4,3,2,House,https://www.domain.com.au/6-3-highland-avenue-bankstown-nsw-2200-2019968053,1220000.0
"$699,950","106/78-80 Marshall Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,New apartments / off the plan,https://www.domain.com.au/106-78-80-marshall-street-bankstown-nsw-2200-2019958889,699950.0
"$3,699,950","5-7 Little Road, BANKSTOWN NSW 2200",BANKSTOWN,5,2,0,House,https://www.domain.com.au/5-7-little-road-bankstown-nsw-2200-2019957203,3699950.0
4Beds2Baths2Parking,"23 Gail Place, BANKSTOWN NSW 2200",BANKSTOWN,4,2,2,House,https://www.domain.com.au/23-gail-place-bankstown-nsw-2200-2020105029,4000.0
"$420,000-$450,000|Entry via Cross Street","612/196B Stacey Street, BANKSTOWN NSW 2200",BANKSTOWN,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/612-196b-stacey-street-bankstown-nsw-2200-2020105031,420000.0
"$480,000-$520,000","205/196A Stacey Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/205-196a-stacey-street-bankstown-nsw-2200-2020105026,480000.0
"$600,000-$650,000","101/3 Leonard Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/101-3-leonard-street-bankstown-nsw-2200-2020105022,600000.0
"Just Listed | $559,000 - $589,000","14/34 Conway Road, BANKSTOWN NSW 2200",BANKSTOWN,2,1,2,Apartment / Unit / Flat,https://www.domain.com.au/14-34-conway-road-bankstown-nsw-2200-2020094313,559000.0
"$465,000 to $485,000","903/61-63 Rickard Road, BANKSTOWN NSW 2200",BANKSTOWN,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/903-61-63-rickard-road-bankstown-nsw-2200-2019233220,465000.0
Contact Agent for Best Price,"192-194 Stacey Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/192-194-stacey-street-bankstown-nsw-2200-2017358883,
Contact Agent,"Level 2/192-194 Stacey Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/level-2-192-194-stacey-street-bankstown-nsw-2200-2017358860,
Contact Agent,"23A Reathaven Road, BANKSTOWN NSW 2200",BANKSTOWN,8,5,8,House,https://www.domain.com.au/23a-reathaven-road-bankstown-nsw-2200-2017141989,
